block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-137023,959729
1024,false,0,snappy,1,20,36,256,-1,10,2,1,32768,-15093,1932906
1024,false,0,snappy,4,20,36,16,-1,10,2,1,2097152,-97720,2890675
32,true,0,snappy,32,20,36,128,-1,10,2,1,16777216,-3856,3867168
128,true,0,snappy,32,20,36,1,-1,10,2,1,16,-1273,4893312
8192,true,0,snappy,2,20,36,4,-1,10,2,1,131072,-25793,5858365
512,true,0,snappy,2,20,36,-1,-1,10,2,1,67108864,-13669,6817893
524288,false,0,snappy,2,20,36,256,-1,10,2,1,536870912,-81626,7778020
16,false,0,snappy,16,20,36,16,-1,10,2,1,64,-974,8794532
131072,false,0,snappy,64,20,36,256,-1,10,2,1,16384,-6743,9782792
8,false,0,snappy,128,20,36,1,-1,10,2,1,16,-5244,10776830
2048,true,0,snappy,8,20,36,2,-1,10,2,1,128,-12138,11751060
524288,false,0,snappy,16,20,36,32,-1,10,2,1,67108864,-41950,12706602
2048,false,0,snappy,1,20,36,64,-1,10,2,1,4194304,-99263,13666187
32768,false,0,snappy,4,20,36,-1,-1,10,2,1,1048576,-24827,14630135
1,false,0,snappy,2,20,36,-1,-1,10,2,1,2097152,-14022,15612370
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,16777216,-111606,16573619
131072,false,0,snappy,2,20,36,8,-1,10,2,1,256,-12811,17556173
1,true,0,snappy,1,20,36,32,-1,10,2,1,16,-3713,18545759
4096,false,0,snappy,8,20,36,-1,-1,10,2,1,2097152,-39113,19508057
8192,false,0,snappy,4,20,36,-1,-1,10,2,1,4194304,-71005,20466150
1024,true,0,snappy,1,20,36,4,-1,10,2,1,16777216,-22988,21426766
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,33554432,-131823,22385579
1024,false,0,snappy,1,20,36,-1,-1,10,2,1,16777216,-115260,23348633
4096,false,0,snappy,4,20,36,1,-1,10,2,1,16777216,-128507,24305256
4096,false,0,snappy,4,20,36,128,-1,10,2,1,67108864,-139130,25261869
2048,false,0,snappy,4,20,36,16,-1,10,2,1,33554432,-139180,26222257
512,false,0,snappy,4,20,36,8,-1,10,2,1,33554432,-145070,27179923
256,false,0,snappy,4,20,36,16,-1,10,2,1,33554432,-124149,28138868
64,false,0,snappy,4,20,36,4,-1,10,2,1,67108864,-114768,29097917
4,false,0,snappy,4,20,36,32,-1,10,2,1,33554432,-123182,30060504
512,false,0,snappy,4,20,36,256,-1,10,2,1,134217728,-150732,31018901
8192,false,0,snappy,4,20,36,256,-1,10,2,1,33554432,-135154,31975356
512,false,0,snappy,8,20,36,128,-1,10,2,1,134217728,-146515,32934529
512,false,0,snappy,16,20,36,128,-1,10,2,1,134217728,-143197,33891864
512,false,0,snappy,128,20,36,256,-1,10,2,1,134217728,-148346,34849071
1,false,0,snappy,32,20,36,256,-1,10,2,1,134217728,-117377,35821931
512,false,0,snappy,16,20,36,32,-1,10,2,1,134217728,-144784,36781729
16384,false,0,snappy,64,20,36,32,-1,10,2,1,268435456,-143348,37739585
32768,false,0,snappy,16,20,36,256,-1,10,2,1,134217728,-122826,38696613
512,false,0,snappy,1,20,36,256,-1,10,2,1,134217728,-151817,39657993
32768,false,0,snappy,64,20,36,8,-1,10,2,1,33554432,-91939,40614776
512,false,0,snappy,1,20,36,256,-1,10,2,1,268435456,-124939,41575581
512,false,0,snappy,2,20,36,256,-1,10,2,1,134217728,-144531,42533585
512,false,0,snappy,256,20,36,256,-1,10,2,1,134217728,-148495,43490317
256,true,0,snappy,256,20,36,4,-1,10,2,1,134217728,-7952,44461871
4096,false,0,snappy,64,20,36,64,-1,10,2,1,1073741824,-129724,45419862
65536,false,0,snappy,128,20,36,256,-1,10,2,1,268435456,-124518,46382924
512,false,0,snappy,256,20,36,256,-1,10,2,1,16777216,-103512,47340530
512,false,0,snappy,8,20,36,-1,-1,10,2,1,134217728,-148751,48298541
512,false,0,snappy,2,20,36,-1,-1,10,2,1,134217728,-152395,49261055
512,false,0,snappy,4,20,36,256,-1,10,2,1,67108864,-146220,50218460
512,false,0,snappy,32,20,36,-1,-1,10,2,1,134217728,-144463,51176456
512,false,0,snappy,64,20,36,256,-1,10,2,1,67108864,-144153,52133510
32,false,0,snappy,256,20,36,2,-1,10,2,1,134217728,-144522,53091077
65536,false,0,snappy,8,20,36,2,-1,10,2,1,2097152,-55221,54055139
16384,false,0,snappy,256,20,36,128,-1,10,2,1,67108864,-123939,55013833
16,false,0,snappy,128,20,36,1,-1,10,2,1,134217728,-143483,55974093
4,false,0,snappy,8,20,36,1,-1,10,2,1,134217728,-130891,56935541
